nonce,value
1590392121,331.76
1590396921,2000.0
1590428113,1.0
1590429378,9.0
1590438790,6.0
1590439225,4.0
1590457691,20.0
1590476754,10.0
1590519917,1500.0
1590520470,1500.0
1590526743,2000.0
1590527284,2000.0
1590539185,32.75
1590547244,1997.5
1590547692,1997.5
1590548203,1995.5
1590548943,1995.5
1590559461,12.5
1590564946,40.0
1590565077,40.0
1590594416,118.61
1590594532,98.61
1590594772,20.0
1590600281,1000.0
1590602579,100.0
1590602722,100.0
1590603025,100.0
1590603243,270.0
1590603760,10.0
1590604952,266.0
1590606309,60.0
1590607120,94.0
1590607290,154.0
1590615921,2000.0
1590615947,3000.0
1590616231,900.0
1590616391,250.0
1590616426,350.0
1590616525,100.0
1590616606,250.0
1590616913,300.0
1590616963,100.0
1590617240,34.79
1590617304,2000.0
1590617685,2000.0
1590618263,20.0
1590618267,100.0
1590618658,100.0
1590618972,300.0
1590619275,300.0
1590627234,80.0
1590629428,24.79
1590630479,196.03
1590630542,96.03
1590631122,50.0
1590631902,100.0
1590633488,10.62
1590633557,9.11
1590633673,30.27
1590641779,30.0
1590641855,35.0
1590641880,35.0
1590647643,75.54
1590647772,75.54
1590648112,75.54
1590652009,10.0
1590652919,10.0
1590671983,81.3
1590672346,81.3
1590672652,81.3
1590684071,500.0
1590684281,500.0
1590685831,8723.89
1590686280,3000.0
1590686619,3000.0
1590695236,36.9
1590698324,1.0
1590765612,500.0
1590774235,100.0
1590774284,100.0
1590774582,100.0
1590777485,17.1
1590785038,5.0
1590785161,5.0
1590785538,210.0
1590785567,5.0
1590785605,210.0
1590785917,210.0
1590789893,500.0
1590829775,19998.0
1590830235,67.26
1590838565,2.0
1590839222,2931.21
1590839316,12364.61
1590839639,12364.61
1590841760,1668.2
1590842497,1668.2
1590855078,2000.0
1590855313,2000.0
1590869778,4.89
1590871648,153.82
1590903591,2000.0
1590904080,2000.0
1590904937,123.0
1590905364,123.0
1590905455,1500.0
1590906078,1500.0
1590906740,17.13
1590907195,20.0
1590916839,20.0
1590935725,40.36
1590936488,10.0
1590936633,10.0
1590963346,4000.0
1591007775,2436.58
1591019974,155.82
1591020383,155.82
1591101547,10192.69
1591147938,10000.0
1591196122,6814.97
1591281012,24.66
1591281467,24.66
1591300586,135.7
1591301427,135.7
1591350114,263.73
1591350445,263.73
1591407936,1.0
1591411718,400.0
1591462654,0.0
1591463229,501.62
1591463394,0.0
1591463454,501.62
1591468947,10.0
1591533176,7512.11
1591533209,2680.58
1591533468,7512.11
1591533822,2680.58
1591553068,10.0
1591556969,400.0
1591557218,400.0
1591629117,376.25
1591651356,40000.0
1591658005,10000.0
1591664535,40000.0
1591687262,1901.69
1591701382,20000.0
1591701718,90309.62
1591711278,650.3
1591722619,999.0
1591724788,10000.0
1591739951,69.37
1591819385,3.83
1591821651,73.2
1591831788,73.2
1591835931,1.71
1591836442,15.83
1591836621,17.54
1591836945,17.54
1591839941,40000.0
1591840513,600.4
1591843787,10000.0
1591844079,10000.0
1591845434,10000.0
1591845714,10000.0
1591856727,659.83
1591857652,322.57
1591861865,73.2
1591862536,1.1
1591867018,1800.26
1591867745,1539.09
1591868062,66.25
1591868603,1539.09
1591880016,21.2
1591884209,23.0
1591887282,43.77
1591888112,2702.63
1591889924,102.85
1591893294,2397.52
1591894771,15000.0
1591896366,15000.0
1591897372,337.27
1591897390,2090.16
1591897490,110.18
1591897551,2090.16
1591897891,72.85
1591898287,2201.03
1591899326,74.68
1591899477,70.81
1591900684,6.48
1591901198,21.2
1591901273,920.83
1591901717,1783.56
1591908020,1344.57
1591908153,1344.57
1591908404,1344.57
1591909945,42.94
1591912571,54.11
